2.200000000000000011e-01,8.775281959999998935e-13,1.620763394740386831e-01
2.080000000000000071e+00,2.246561666666666086e-12,4.149319565978125679e-01
4.040000000000000036e+00,3.601798514285715134e-12,6.652393864714745142e-01
6.040000000000000036e+00,4.592021085714284551e-12,8.481299766237621052e-01
8.039999999999999147e+00,5.202291657142857447e-12,9.608447825487821392e-01
1.008000000000000007e+01,5.414289333333333297e-12,1.000000000000000000e+00
1.203999999999999915e+01,5.367203299999999472e-12,9.913033769652008775e-01
1.500000000000000000e+01,5.102786999999999389e-12,9.424666259677785263e-01
2.001999999999999957e+01,4.600819096774193585e-12,8.497549380024870258e-01
2.500000000000000000e+01,4.074845899999999400e-12,7.526095576224591799e-01
3.000000000000000000e+01,3.586690166666665892e-12,6.624489283542781548e-01
4.002000000000000313e+01,2.647826566666666742e-12,4.890441577189447164e-01
5.000000000000000000e+01,1.831817433333333229e-12,3.383301705092967571e-01
6.002000000000000313e+01,1.172256800000000268e-12,2.165116653044278083e-01
7.000000000000000000e+01,6.780962400000002816e-13,1.252419658892752752e-01
8.000000000000000000e+01,3.529997600000000032e-13,6.519780127499651134e-02
